Time Opened,Time Closed,Asset,Direction,Entry Price,Exit Price,PnL %,Est PnL USD,Exit Reason,Held (mins),Entry RSI,Entry Trend,Strategy
2026-06-15T19:15:22.766722+00:00,2026-06-15T21:15:25.294350+00:00,BTC/USDT,long,66878.1,66522.6,-0.5316,-71.1,time_exit,120.0,44.53,UP,38
2026-06-15T21:15:30.964239+00:00,2026-06-15T23:15:55.067972+00:00,BTC/USDT,long,66522.6,66255.9,-0.4009,-53.34,time_exit,120.4,40.55,UP,38
2026-06-16T06:15:25.982209+00:00,2026-06-16T08:15:34.904669+00:00,BTC/USDT,short,66168.2,66479.7,-0.4708,-62.3,time_exit,120.1,61.87,DOWN,39
2026-06-16T11:00:14.351495+00:00,2026-06-16T14:32:14.382825+00:00,BTC/USDT,long,66514.7,65441.5,-1.6135,-214.64,stop_loss,212.0,42.14,UP,41
2026-06-16T17:45:55.513911+00:00,2026-06-17T19:29:41.815630+00:00,BTC/USDT,short,65792.5,64438.5,2.058,270.8,take_profit,1543.8,58.31,DOWN,41
2026-06-17T23:00:03.780027+00:00,2026-06-18T12:48:07.674883+00:00,BTC/USDT,short,64293.5,64317.9,-0.038,-4.88,ema_exit,828.1,60.69,DOWN,42
2026-06-18T19:15:02.789567+00:00,2026-06-18T23:50:01.622352+00:00,BTC/USDT,short,62673.3,62922.0,-0.3968,-49.74,rsi_target,275.0,68.36,DOWN,43
2026-06-19T02:36:53.171228+00:00,2026-06-19T02:37:23.259547+00:00,BTC/USDT,short,62932.8,62943.3,-0.0167,-2.1,ema_exit,0.5,60.47,DOWN,43
2026-06-19T02:38:43.417223+00:00,2026-06-19T02:42:45.312568+00:00,BTC/USDT,short,62929.8,62943.5,-0.0218,-2.74,ema_exit,4.0,60.25,DOWN,43
2026-06-19T02:46:08.735751+00:00,2026-06-19T02:47:23.322087+00:00,BTC/USDT,short,62893.0,62930.1,-0.059,-7.42,ema_exit,1.2,58.23,DOWN,43
2026-06-19T07:33:46.140989+00:00,2026-06-19T09:45:32.260117+00:00,BTC/USDT,short,62715.9,62424.9,0.464,58.2,rsi_target,131.8,58.14,DOWN,43
2026-06-19T10:56:34.907190+00:00,2026-06-19T12:51:57.840442+00:00,BTC/USDT,short,62589.0,62827.8,-0.3815,-47.76,ema_exit,115.4,58.07,DOWN,43
2026-06-19T13:18:28.571105+00:00,2026-06-19T13:20:35.537996+00:00,BTC/USDT,short,62690.2,62705.3,-0.0241,-3.02,ema_exit,2.1,74.75,DOWN,43
2026-06-19T20:00:02.501281+00:00,2026-06-19T23:15:30.049447+00:00,BTC/USDT,long,63037.3,63289.1,0.3994,50.36,rsi_target,195.5,39.83,UP,44
2026-06-20T03:50:09.969807+00:00,2026-06-20T05:10:18.214222+00:00,BTC/USDT,long,63500.5,63862.2,0.5696,72.34,rsi_target,80.1,41.33,UP,44
